epoch,train_loss,val_loss,val_rmse_C
1,0.139199,1.262307,1.715639
2,0.112841,1.178922,1.634267
3,0.108260,1.181111,1.632050
4,0.105966,1.162598,1.611704
5,0.104686,1.141604,1.593296
6,0.103526,1.174335,1.617648
7,0.102707,1.155690,1.605670
8,0.102125,1.131416,1.581887
9,0.101356,1.164842,1.612477
10,0.101097,1.149043,1.595875
11,0.100620,1.130185,1.577608
12,0.100098,1.134803,1.583011
13,0.099959,1.140617,1.584748
14,0.099450,1.129521,1.578441
15,0.099240,1.128880,1.573513
16,0.098828,1.130650,1.582112
17,0.098678,1.146606,1.593905
18,0.098326,1.121450,1.575361
19,0.098091,1.132499,1.582799
20,0.097940,1.138207,1.588733
