epoch,train_loss,val_loss,val_rmse_C
1,0.045097,1.374793,1.840626
2,0.029457,1.243315,1.692661
3,0.027864,1.204443,1.650460
4,0.026911,1.159197,1.601447
5,0.026370,1.250522,1.700500
6,0.025909,1.160480,1.601798
7,0.025669,1.157627,1.603595
8,0.025438,1.135205,1.579702
9,0.025226,1.137624,1.579104
10,0.025072,1.164920,1.607665
11,0.024899,1.126024,1.568947
12,0.024803,1.155251,1.595286
13,0.024712,1.141804,1.586828
14,0.024533,1.155664,1.595651
15,0.024481,1.140639,1.585118
16,0.024349,1.151451,1.587627
