epoch,train_loss,val_loss,val_rmse_C
1,0.033037,1.213447,1.677851
2,0.023231,1.162504,1.624231
3,0.022371,1.151759,1.613939
4,0.021828,1.170618,1.628037
5,0.021444,1.121686,1.573839
6,0.021187,1.130196,1.583540
7,0.020940,1.108824,1.560413
8,0.020778,1.094147,1.545635
9,0.020598,1.102036,1.553851
10,0.020465,1.088994,1.546882
11,0.020317,1.092614,1.543558
12,0.020249,1.115485,1.571360
13,0.020084,1.115707,1.567037
14,0.019991,1.087257,1.540441
15,0.019872,1.091185,1.543435
16,0.019788,1.115825,1.571145
17,0.019668,1.097248,1.553630
18,0.019571,1.087622,1.543698
19,0.019464,1.100680,1.559968
