epoch,train_loss,val_loss,val_rmse_C
1,0.139087,1.227788,1.685936
2,0.113142,1.215501,1.664284
3,0.108919,1.178314,1.627475
4,0.106592,1.158438,1.604870
5,0.105302,1.159972,1.606694
6,0.104284,1.145328,1.592214
7,0.103390,1.137565,1.585378
8,0.102724,1.141662,1.586780
9,0.102144,1.149960,1.596905
10,0.101618,1.139370,1.587241
11,0.101193,1.130709,1.579996
12,0.100755,1.142773,1.588146
13,0.100496,1.135563,1.584238
14,0.100136,1.137297,1.584336
15,0.099856,1.145752,1.590073
16,0.099420,1.143379,1.591554
