epoch,train_loss,val_loss,val_rmse_C
1,0.156686,1.309465,1.773686
2,0.122709,1.223277,1.679766
3,0.115450,1.189235,1.641658
4,0.111417,1.181832,1.631180
5,0.108944,1.175067,1.628611
6,0.107091,1.154189,1.606755
7,0.105526,1.157243,1.606634
8,0.104400,1.146535,1.598281
9,0.103675,1.144948,1.597390
10,0.102783,1.134021,1.587853
11,0.101942,1.127945,1.580975
12,0.101321,1.148287,1.599292
13,0.100851,1.133542,1.588550
14,0.100201,1.120753,1.577836
15,0.099626,1.120880,1.579875
16,0.099069,1.120410,1.577195
17,0.098541,1.124913,1.577851
18,0.098140,1.134379,1.597197
19,0.097625,1.136779,1.603283
20,0.097064,1.130032,1.589727
21,0.096706,1.130821,1.592515
