epoch,train_loss,val_loss,val_rmse_C
1,0.157344,1.327356,1.789078
2,0.123415,1.227396,1.683196
3,0.115559,1.199008,1.653699
4,0.111606,1.175008,1.628026
5,0.109019,1.200871,1.650301
6,0.107329,1.154635,1.607296
7,0.105962,1.152712,1.606715
8,0.104720,1.144731,1.601206
9,0.103822,1.135411,1.590485
10,0.102930,1.143446,1.598632
11,0.102083,1.135705,1.589631
12,0.101449,1.126417,1.581130
13,0.100792,1.130202,1.584116
14,0.100142,1.125734,1.581120
15,0.099654,1.133839,1.589560
16,0.099175,1.123349,1.584483
17,0.098704,1.129285,1.587355
