epoch,train_loss,val_loss,val_rmse_C
1,0.042965,1.317339,1.787181
2,0.027917,1.253961,1.718574
3,0.027145,1.239116,1.700419
4,0.026599,1.212387,1.672346
5,0.026259,1.217141,1.670868
6,0.025978,1.185826,1.640404
7,0.025771,1.167719,1.618429
8,0.025644,1.182626,1.629918
9,0.025477,1.151669,1.607757
10,0.025347,1.146359,1.599571
11,0.025202,1.150410,1.599962
12,0.025176,1.159246,1.604284
13,0.025099,1.144950,1.600052
14,0.025033,1.172408,1.614803
15,0.024980,1.152462,1.599356
16,0.024849,1.163150,1.611402
17,0.024928,1.127699,1.578796
18,0.024820,1.144015,1.599518
19,0.024784,1.150742,1.595997
20,0.024733,1.142236,1.588590
21,0.024677,1.116272,1.566516
22,0.024662,1.122759,1.570492
23,0.024575,1.136214,1.584950
24,0.024542,1.141955,1.589408
25,0.024550,1.161296,1.607600
26,0.024457,1.114815,1.565602
27,0.024458,1.110918,1.562438
28,0.024476,1.122875,1.571734
29,0.024389,1.150786,1.590925
30,0.024424,1.124232,1.573059
