epoch,train_loss,val_loss,val_rmse_C
1,0.044915,1.337818,1.801062
2,0.029411,1.248915,1.699086
3,0.027757,1.292475,1.733789
4,0.026897,1.206211,1.651982
5,0.026428,1.187084,1.628066
6,0.025989,1.158858,1.597549
7,0.025684,1.170173,1.609644
8,0.025462,1.191558,1.634995
9,0.025198,1.163173,1.604591
10,0.025121,1.161554,1.607783
11,0.024876,1.137613,1.578709
12,0.024746,1.154752,1.598006
13,0.024619,1.184877,1.630868
14,0.024455,1.138765,1.591448
15,0.024400,1.138028,1.584234
16,0.024302,1.172729,1.617646
