epoch,train_loss,val_loss,val_rmse_C
1,0.153004,1.297847,1.756566
2,0.120294,1.244966,1.699341
3,0.113326,1.195447,1.648259
4,0.109730,1.186747,1.636310
5,0.107452,1.167655,1.614905
6,0.106021,1.152380,1.604441
7,0.104607,1.147154,1.598607
8,0.103719,1.126214,1.579632
9,0.102844,1.140672,1.596050
10,0.102237,1.139184,1.589735
11,0.101573,1.137061,1.587249
12,0.101068,1.134239,1.584105
13,0.100478,1.120632,1.575661
14,0.100095,1.113124,1.566354
15,0.099508,1.117678,1.571795
16,0.099103,1.125251,1.578354
17,0.098582,1.117113,1.573823
18,0.098225,1.122468,1.580231
19,0.097764,1.122312,1.578003
