epoch,train_loss,val_loss,val_rmse_C
1,0.140089,1.248169,1.702579
2,0.113317,1.180860,1.630518
3,0.108209,1.141497,1.595225
4,0.105498,1.149319,1.602132
5,0.103949,1.137091,1.588411
6,0.102712,1.140217,1.588056
7,0.101699,1.118107,1.569054
8,0.100522,1.134991,1.589166
9,0.099750,1.117657,1.567944
10,0.098930,1.128249,1.576897
11,0.098015,1.114893,1.574605
12,0.097473,1.120377,1.576734
13,0.096987,1.107677,1.565861
14,0.096366,1.119754,1.578895
15,0.095666,1.119948,1.580770
16,0.095214,1.123116,1.588900
17,0.094619,1.142200,1.635714
18,0.094012,1.118791,1.578983
