epoch,train_loss,val_loss,val_rmse_C
1,0.033005,1.207318,1.667606
2,0.023167,1.204535,1.656318
3,0.022193,1.154315,1.608138
4,0.021704,1.128638,1.586700
5,0.021377,1.139260,1.586816
6,0.021132,1.107695,1.558223
7,0.020929,1.110487,1.561887
8,0.020701,1.111190,1.561792
9,0.020598,1.104932,1.559252
10,0.020427,1.099634,1.555484
11,0.020340,1.116089,1.574821
12,0.020132,1.096791,1.548004
13,0.020014,1.107553,1.567270
14,0.019937,1.095900,1.558054
15,0.019786,1.090146,1.547774
16,0.019669,1.129396,1.586067
17,0.019577,1.088209,1.550855
18,0.019429,1.107198,1.565077
19,0.019307,1.098210,1.557499
20,0.019203,1.113316,1.583493
