epoch,train_loss,val_loss,val_rmse_C
1,0.154429,1.290676,1.754311
2,0.120267,1.243150,1.697508
3,0.113541,1.205564,1.656052
4,0.109852,1.172515,1.622909
5,0.107896,1.186985,1.635699
6,0.106423,1.157545,1.606113
7,0.105357,1.152272,1.601655
8,0.104585,1.144753,1.593228
9,0.103822,1.158673,1.608150
10,0.103262,1.146799,1.594131
11,0.102786,1.137041,1.586089
12,0.102360,1.136910,1.586171
13,0.102082,1.134581,1.584888
14,0.101727,1.142182,1.589440
15,0.101416,1.157946,1.602683
16,0.100996,1.150491,1.601342
17,0.100863,1.129471,1.577705
18,0.100451,1.154544,1.607673
19,0.100197,1.136579,1.586639
20,0.100031,1.146266,1.595260
21,0.099670,1.141914,1.589986
22,0.099566,1.120716,1.572574
23,0.099379,1.127991,1.578497
24,0.099075,1.125959,1.575444
25,0.098926,1.144800,1.595365
26,0.098638,1.130126,1.578857
27,0.098583,1.120236,1.569947
28,0.098426,1.149212,1.615500
29,0.098261,1.124615,1.578212
30,0.098047,1.132631,1.584422
