epoch,train_loss,val_loss,val_rmse_C
1,0.054572,1.469499,1.949134
2,0.031283,1.324222,1.782614
3,0.029410,1.283786,1.734400
4,0.028255,1.228734,1.677386
5,0.027486,1.250642,1.696797
6,0.026848,1.193278,1.635733
7,0.026445,1.200231,1.643971
8,0.026104,1.164831,1.607728
9,0.025827,1.155388,1.598327
10,0.025640,1.178051,1.617238
11,0.025437,1.142411,1.584187
12,0.025354,1.166001,1.604929
13,0.025248,1.160131,1.602765
14,0.025075,1.158348,1.601947
15,0.025029,1.156155,1.597684
16,0.024944,1.168195,1.605978
