epoch,train_loss,val_loss,val_rmse_C
1,0.043000,1.404205,1.880070
2,0.028068,1.269820,1.733877
3,0.027251,1.248337,1.707633
4,0.026682,1.216671,1.670721
5,0.026351,1.185868,1.639337
6,0.026010,1.224578,1.676913
7,0.025773,1.182987,1.635855
8,0.025606,1.193875,1.646568
9,0.025440,1.199653,1.651021
10,0.025444,1.152300,1.602391
11,0.025255,1.147329,1.597432
12,0.025244,1.169732,1.621039
13,0.025165,1.185846,1.636408
14,0.025030,1.153574,1.601582
15,0.024980,1.146759,1.593282
16,0.024954,1.149217,1.600160
17,0.024864,1.185292,1.632517
18,0.024827,1.122295,1.580362
19,0.024833,1.136196,1.588562
20,0.024803,1.134633,1.590526
21,0.024734,1.137175,1.595068
22,0.024691,1.163973,1.613035
23,0.024676,1.148417,1.597784
