epoch,train_loss,val_loss,val_rmse_C
1,0.039512,1.291944,1.754102
2,0.024433,1.202906,1.654211
3,0.022972,1.157816,1.603565
4,0.022119,1.146040,1.596614
5,0.021625,1.119726,1.567480
6,0.021169,1.120585,1.568287
7,0.020917,1.140385,1.583735
8,0.020601,1.151721,1.601798
9,0.020383,1.109347,1.558318
10,0.020215,1.130916,1.580239
11,0.019956,1.117018,1.572940
12,0.019765,1.107622,1.560492
13,0.019579,1.097387,1.553178
14,0.019378,1.103041,1.560469
15,0.019239,1.121785,1.588380
16,0.019060,1.118994,1.584434
17,0.018866,1.149788,1.646456
18,0.018683,1.140504,1.633898
