epoch,train_loss,val_loss,val_rmse_C
1,0.054471,1.455124,1.926814
2,0.031292,1.326779,1.784842
3,0.029340,1.293726,1.750431
4,0.028159,1.251810,1.698544
5,0.027425,1.198753,1.642160
6,0.026899,1.207743,1.646277
7,0.026494,1.164585,1.605356
8,0.026154,1.179074,1.626145
9,0.025911,1.177305,1.617589
10,0.025695,1.178976,1.621418
11,0.025518,1.173957,1.614624
12,0.025343,1.158974,1.598594
13,0.025227,1.137660,1.577225
14,0.025115,1.167295,1.604654
15,0.024994,1.155717,1.602119
16,0.024919,1.139502,1.581515
17,0.024797,1.145009,1.584668
18,0.024741,1.141457,1.581408
