epoch,train_loss,val_loss,val_rmse_C
1,0.052292,1.443924,1.917602
2,0.030298,1.314705,1.770695
3,0.028536,1.231506,1.684109
4,0.027544,1.266305,1.716083
5,0.026955,1.212371,1.657216
6,0.026473,1.197608,1.641659
7,0.026116,1.195195,1.641325
8,0.025908,1.168579,1.611216
9,0.025646,1.150247,1.593651
10,0.025542,1.156658,1.597185
11,0.025372,1.137709,1.580004
12,0.025219,1.142389,1.582680
13,0.025076,1.135556,1.577366
14,0.024965,1.143636,1.580597
15,0.024957,1.150968,1.593180
16,0.024815,1.119750,1.564000
17,0.024756,1.153206,1.593525
18,0.024655,1.126633,1.572211
19,0.024525,1.143713,1.586780
20,0.024498,1.129357,1.571699
21,0.024410,1.123788,1.565173
