epoch,train_loss,val_loss,val_rmse_C
1,0.154527,1.281071,1.744747
2,0.120333,1.226541,1.682269
3,0.113454,1.197046,1.654365
4,0.109976,1.192692,1.646111
5,0.108023,1.183177,1.633363
6,0.106534,1.154237,1.608983
7,0.105516,1.158443,1.608692
8,0.104545,1.136475,1.590401
9,0.103953,1.140717,1.593860
10,0.103337,1.151556,1.603059
11,0.102889,1.151170,1.601863
12,0.102387,1.128405,1.579121
13,0.102017,1.131978,1.584867
14,0.101707,1.129912,1.582330
15,0.101394,1.135964,1.586923
16,0.101133,1.125046,1.576079
17,0.100792,1.122166,1.573131
18,0.100615,1.116821,1.569974
19,0.100200,1.135773,1.582750
20,0.100138,1.119975,1.569210
21,0.099971,1.118228,1.568565
22,0.099732,1.121912,1.572796
23,0.099501,1.141503,1.589067
24,0.099242,1.130231,1.578613
25,0.099037,1.123977,1.575537
26,0.099000,1.143465,1.590149
