epoch,train_loss,val_loss,val_rmse_C
1,0.040009,1.283345,1.752864
2,0.024185,1.209340,1.670177
3,0.023011,1.166387,1.625036
4,0.022389,1.141105,1.597538
5,0.021933,1.138805,1.592213
6,0.021626,1.141555,1.600822
7,0.021429,1.131634,1.586018
8,0.021213,1.111083,1.563001
9,0.021057,1.127899,1.575345
10,0.020890,1.100676,1.555574
11,0.020779,1.135753,1.592033
12,0.020644,1.108086,1.557894
13,0.020538,1.088594,1.542910
14,0.020474,1.107003,1.562105
15,0.020353,1.100273,1.555927
16,0.020261,1.090592,1.546179
17,0.020194,1.098894,1.558843
18,0.020119,1.081449,1.535729
19,0.020062,1.103155,1.560378
20,0.019911,1.095704,1.556244
21,0.019882,1.099214,1.558976
22,0.019785,1.092767,1.556857
23,0.019711,1.101924,1.558443
