epoch,train_loss,val_loss,val_rmse_C
1,0.040136,1.293190,1.761356
2,0.024187,1.221017,1.680941
3,0.023056,1.170825,1.626913
4,0.022360,1.150399,1.605530
5,0.021919,1.166919,1.621945
6,0.021646,1.153301,1.608084
7,0.021411,1.129841,1.581158
8,0.021180,1.136603,1.595368
9,0.021021,1.107421,1.560596
10,0.020866,1.136280,1.590951
11,0.020739,1.098418,1.552808
12,0.020675,1.117610,1.570640
13,0.020539,1.088871,1.539885
14,0.020454,1.115356,1.569371
15,0.020366,1.114140,1.566188
16,0.020350,1.118558,1.565988
17,0.020214,1.090455,1.545863
18,0.020157,1.083904,1.539382
19,0.020058,1.089644,1.547930
20,0.019993,1.085405,1.541880
21,0.019883,1.086037,1.539307
22,0.019832,1.106245,1.573257
23,0.019745,1.088456,1.543024
