epoch,train_loss,val_loss,val_rmse_C
1,0.039692,1.294650,1.759302
2,0.024235,1.209357,1.669038
3,0.023171,1.180764,1.644078
4,0.022536,1.182330,1.640845
5,0.022064,1.137619,1.594938
6,0.021723,1.140135,1.595287
7,0.021450,1.123687,1.576537
8,0.021259,1.102763,1.555359
9,0.021070,1.117311,1.570783
10,0.020935,1.120888,1.582159
11,0.020792,1.095709,1.549591
12,0.020712,1.118616,1.572555
13,0.020566,1.116175,1.569716
14,0.020494,1.096242,1.548439
15,0.020391,1.101861,1.553181
16,0.020330,1.112971,1.564944
17,0.020246,1.104633,1.555881
18,0.020177,1.089904,1.545168
19,0.020085,1.108041,1.559587
20,0.020013,1.084648,1.537685
21,0.019971,1.097279,1.550585
22,0.019900,1.089437,1.551674
23,0.019822,1.087764,1.545194
24,0.019729,1.090217,1.549797
25,0.019703,1.107022,1.568902
