epoch,train_loss,val_loss,val_rmse_C
1,0.053892,1.384038,1.865558
2,0.029138,1.296792,1.764497
3,0.027924,1.291261,1.756940
4,0.027327,1.235727,1.698770
5,0.026993,1.252431,1.711188
6,0.026709,1.227690,1.686448
7,0.026453,1.218000,1.675041
8,0.026270,1.207812,1.661601
9,0.026046,1.190433,1.645249
10,0.025881,1.182138,1.632778
11,0.025688,1.171232,1.622353
12,0.025624,1.167058,1.617303
13,0.025526,1.162935,1.615959
14,0.025437,1.183001,1.628094
15,0.025366,1.176605,1.625143
16,0.025219,1.163099,1.617049
17,0.025283,1.141224,1.593711
18,0.025167,1.153728,1.606301
19,0.025133,1.174581,1.620697
20,0.025073,1.150542,1.599833
21,0.025030,1.131365,1.582136
22,0.024994,1.135497,1.586218
23,0.024896,1.153978,1.601177
24,0.024865,1.140884,1.590439
25,0.024854,1.163815,1.612084
26,0.024783,1.130389,1.580720
27,0.024778,1.125071,1.579168
28,0.024769,1.129381,1.583319
29,0.024680,1.144236,1.590080
30,0.024735,1.144065,1.594158
