epoch,train_loss,val_loss,val_rmse_C
1,0.053738,1.365439,1.843593
2,0.029071,1.305901,1.779964
3,0.027847,1.271569,1.738839
4,0.027309,1.232689,1.695803
5,0.027005,1.235692,1.696819
6,0.026680,1.223615,1.680883
7,0.026425,1.196630,1.654649
8,0.026245,1.197727,1.653567
9,0.026097,1.189899,1.644423
10,0.025950,1.190944,1.644948
11,0.025758,1.181423,1.637569
12,0.025636,1.167308,1.619615
13,0.025548,1.176371,1.625963
14,0.025456,1.164886,1.617078
15,0.025353,1.157042,1.604960
16,0.025302,1.149643,1.602238
17,0.025226,1.152554,1.601070
18,0.025150,1.148531,1.596150
19,0.025083,1.162579,1.613409
20,0.025071,1.150085,1.603877
21,0.024970,1.142101,1.593840
22,0.024934,1.146474,1.596381
23,0.024900,1.134661,1.582967
24,0.024794,1.155648,1.605186
25,0.024800,1.151072,1.599283
26,0.024821,1.169943,1.615836
27,0.024756,1.131035,1.583761
28,0.024743,1.151844,1.597982
