epoch,train_loss,val_loss,val_rmse_C
1,0.052415,1.418023,1.890919
2,0.030165,1.304723,1.764575
3,0.028480,1.239401,1.689834
4,0.027524,1.235881,1.684856
5,0.026861,1.198998,1.645387
6,0.026465,1.183337,1.630847
7,0.026152,1.172899,1.617117
8,0.025927,1.176248,1.620715
9,0.025711,1.148387,1.588594
10,0.025533,1.153707,1.595080
11,0.025384,1.144133,1.586826
12,0.025248,1.141959,1.586066
13,0.025186,1.137693,1.579198
14,0.025026,1.134182,1.577467
15,0.024979,1.138026,1.579056
16,0.024873,1.129144,1.572385
17,0.024782,1.147462,1.593260
18,0.024702,1.118163,1.563332
19,0.024590,1.132452,1.573722
20,0.024535,1.125689,1.566847
21,0.024424,1.115738,1.561058
22,0.024381,1.111687,1.556766
23,0.024327,1.151346,1.593104
24,0.024247,1.117837,1.564202
25,0.024224,1.120909,1.564408
26,0.024170,1.111907,1.557243
27,0.024111,1.130346,1.572943
