epoch,train_loss,val_loss,val_rmse_C
1,0.039663,1.269674,1.733793
2,0.024437,1.211160,1.660291
3,0.023025,1.185506,1.635938
4,0.022209,1.166879,1.614176
5,0.021667,1.121894,1.567494
6,0.021249,1.122752,1.569502
7,0.020964,1.140136,1.579007
8,0.020671,1.125876,1.570491
9,0.020403,1.141028,1.585417
10,0.020214,1.095939,1.547548
11,0.019965,1.121940,1.577936
12,0.019752,1.093422,1.540895
13,0.019578,1.116998,1.571004
14,0.019391,1.125346,1.568173
15,0.019217,1.124216,1.581802
16,0.019063,1.098201,1.547005
17,0.018849,1.119567,1.582229
