epoch,train_loss,val_loss,val_rmse_C
1,0.043275,1.333075,1.790906
2,0.028563,1.243234,1.689565
3,0.027224,1.227422,1.667088
4,0.026606,1.216071,1.656958
5,0.026097,1.174749,1.616552
6,0.025742,1.155933,1.604608
7,0.025485,1.151240,1.596279
8,0.025311,1.143512,1.587775
9,0.025107,1.128434,1.573425
10,0.024941,1.128325,1.574181
11,0.024800,1.138042,1.581242
12,0.024651,1.137360,1.585464
13,0.024594,1.124126,1.569732
14,0.024441,1.137235,1.584279
15,0.024398,1.138814,1.578642
16,0.024280,1.125775,1.569761
17,0.024164,1.146033,1.598151
18,0.024064,1.117426,1.564121
19,0.023981,1.126934,1.572431
20,0.023897,1.135802,1.580682
21,0.023809,1.118758,1.570989
22,0.023748,1.111774,1.561156
23,0.023644,1.142332,1.589063
24,0.023521,1.121074,1.575799
25,0.023504,1.121174,1.569939
26,0.023404,1.139188,1.598044
27,0.023328,1.140447,1.590129
