epoch,train_loss,val_loss,val_rmse_C
1,0.054044,1.413006,1.893664
2,0.029229,1.283259,1.751020
3,0.027999,1.260747,1.722474
4,0.027372,1.271250,1.727612
5,0.027075,1.219560,1.677856
6,0.026758,1.247278,1.704164
7,0.026500,1.205578,1.665702
8,0.026293,1.215151,1.669341
9,0.026084,1.231701,1.689321
10,0.026047,1.185888,1.638299
11,0.025840,1.182239,1.634235
12,0.025805,1.199311,1.647490
13,0.025700,1.193795,1.643588
14,0.025540,1.181732,1.627750
15,0.025468,1.165986,1.613916
16,0.025406,1.155935,1.608857
17,0.025328,1.177099,1.625953
18,0.025304,1.141911,1.599135
19,0.025277,1.153888,1.603924
20,0.025235,1.148646,1.600592
21,0.025145,1.152200,1.613924
22,0.025095,1.172908,1.620369
23,0.025071,1.149365,1.598109
24,0.025007,1.137727,1.586916
25,0.025014,1.175395,1.621810
26,0.024984,1.132225,1.584447
27,0.024931,1.139643,1.594306
28,0.024856,1.138013,1.588260
29,0.024860,1.156730,1.604218
30,0.024826,1.151233,1.598759
