epoch,train_loss,val_loss,val_rmse_C
1,0.040064,1.275529,1.743340
2,0.024189,1.212557,1.673400
3,0.023068,1.227612,1.684514
4,0.022418,1.190815,1.647200
5,0.021975,1.175142,1.624292
6,0.021655,1.133725,1.584659
7,0.021430,1.135093,1.583561
8,0.021260,1.152825,1.599008
9,0.021087,1.106198,1.557493
10,0.020952,1.123121,1.568258
11,0.020849,1.107765,1.555423
12,0.020770,1.106781,1.552949
13,0.020596,1.102805,1.550496
14,0.020519,1.117026,1.562774
15,0.020434,1.115356,1.561017
16,0.020314,1.116564,1.566164
17,0.020200,1.105927,1.556194
18,0.020145,1.133985,1.591391
