epoch,train_loss,val_loss,val_rmse_C
1,0.042770,1.320438,1.789278
2,0.027864,1.259311,1.726433
3,0.027151,1.244587,1.707041
4,0.026703,1.194107,1.655042
5,0.026384,1.202443,1.663523
6,0.025999,1.175208,1.630558
7,0.025738,1.171874,1.628187
8,0.025570,1.151064,1.606257
9,0.025443,1.146350,1.602165
10,0.025352,1.160143,1.614104
11,0.025201,1.144357,1.603631
12,0.025118,1.144084,1.598777
13,0.025062,1.183851,1.632547
14,0.025000,1.146806,1.599397
15,0.024924,1.133934,1.583106
16,0.024898,1.132595,1.586771
17,0.024830,1.130838,1.584187
18,0.024786,1.135585,1.583797
19,0.024705,1.154529,1.604140
20,0.024705,1.130498,1.586883
