epoch,train_loss,val_loss,val_rmse_C
1,0.039644,1.272847,1.735890
2,0.024291,1.244576,1.704865
3,0.023135,1.187930,1.647605
4,0.022542,1.166267,1.626366
5,0.022109,1.152480,1.607354
6,0.021790,1.138624,1.589891
7,0.021541,1.143822,1.593149
8,0.021284,1.140812,1.592691
9,0.021159,1.124310,1.578828
10,0.020989,1.107950,1.558158
11,0.020882,1.133534,1.583695
12,0.020699,1.109474,1.558461
13,0.020584,1.112690,1.565935
14,0.020517,1.094560,1.545889
15,0.020415,1.090664,1.542089
16,0.020318,1.122179,1.571703
17,0.020226,1.088728,1.537505
18,0.020151,1.097633,1.547111
19,0.020041,1.103799,1.556830
20,0.020001,1.092872,1.548482
21,0.019894,1.103215,1.555399
22,0.019806,1.112000,1.564741
