epoch,train_loss,val_loss,val_rmse_C
1,0.052405,1.407392,1.876588
2,0.030202,1.298506,1.754536
3,0.028513,1.255249,1.707604
4,0.027482,1.256772,1.698240
5,0.026857,1.235597,1.673346
6,0.026374,1.202308,1.645363
7,0.026015,1.162385,1.605453
8,0.025779,1.177403,1.621143
9,0.025564,1.160537,1.603761
10,0.025420,1.164081,1.607905
11,0.025278,1.143297,1.584850
12,0.025166,1.174393,1.613562
13,0.025023,1.134517,1.579256
14,0.024948,1.149076,1.588674
15,0.024855,1.135218,1.577870
16,0.024762,1.152093,1.591116
17,0.024650,1.155033,1.589544
18,0.024586,1.137908,1.579418
19,0.024463,1.141744,1.580861
20,0.024458,1.127444,1.567889
21,0.024390,1.123018,1.560978
22,0.024324,1.123644,1.562983
23,0.024259,1.120464,1.563699
24,0.024177,1.164870,1.597442
25,0.024093,1.159599,1.601693
26,0.024032,1.126713,1.565167
