epoch,train_loss,val_loss,val_rmse_C
1,0.039801,1.320755,1.785579
2,0.024278,1.223602,1.684088
3,0.023082,1.169518,1.629262
4,0.022473,1.144509,1.603289
5,0.022057,1.121171,1.579490
6,0.021757,1.129134,1.587309
7,0.021472,1.135386,1.586746
8,0.021266,1.103505,1.558196
9,0.021069,1.133315,1.584610
10,0.020966,1.107989,1.563992
11,0.020811,1.101225,1.553974
12,0.020710,1.108373,1.561564
13,0.020621,1.094211,1.550907
14,0.020488,1.114994,1.568634
15,0.020395,1.093676,1.549988
16,0.020339,1.101901,1.554912
17,0.020230,1.109984,1.567126
18,0.020120,1.103132,1.562612
19,0.020032,1.089551,1.546630
20,0.019980,1.110504,1.568717
21,0.019900,1.085978,1.544770
22,0.019841,1.091817,1.551061
23,0.019744,1.105569,1.571628
24,0.019694,1.135893,1.589044
25,0.019599,1.111433,1.574742
26,0.019497,1.101196,1.558559
