epoch,train_loss,val_loss,val_rmse_C
1,0.040774,1.282035,1.744207
2,0.025014,1.225191,1.675872
3,0.023296,1.228678,1.678843
4,0.022417,1.157275,1.598566
5,0.021805,1.134179,1.572868
6,0.021377,1.130604,1.570477
7,0.020993,1.128758,1.569117
8,0.020680,1.150986,1.594451
9,0.020402,1.132919,1.576423
10,0.020147,1.121081,1.565777
11,0.019893,1.096879,1.552350
12,0.019665,1.102989,1.558434
13,0.019410,1.133898,1.604079
14,0.019138,1.122130,1.600202
15,0.018916,1.151751,1.626181
16,0.018691,1.139772,1.611920
