epoch,train_loss,val_loss,val_rmse_C
1,0.054262,1.421919,1.899180
2,0.031205,1.326629,1.783783
3,0.029249,1.271396,1.722331
4,0.028139,1.233056,1.680612
5,0.027437,1.225850,1.668199
6,0.026853,1.186591,1.628909
7,0.026456,1.180153,1.619204
8,0.026164,1.201032,1.641219
9,0.025875,1.164825,1.604714
10,0.025752,1.165883,1.604285
11,0.025490,1.155594,1.592969
12,0.025339,1.160345,1.597309
13,0.025218,1.176166,1.615617
14,0.025081,1.155920,1.597642
15,0.025013,1.136832,1.575077
16,0.024954,1.153004,1.594136
17,0.024838,1.154138,1.586637
18,0.024673,1.127372,1.570437
19,0.024636,1.151643,1.591329
20,0.024531,1.144147,1.589445
21,0.024416,1.157764,1.595167
22,0.024376,1.146093,1.594892
23,0.024296,1.140389,1.582408
