epoch,train_loss,val_loss,val_rmse_C
1,0.040025,1.307310,1.776498
2,0.024134,1.244937,1.708266
3,0.023004,1.185589,1.643907
4,0.022352,1.141753,1.597726
5,0.021896,1.142939,1.597455
6,0.021608,1.136273,1.587264
7,0.021346,1.119810,1.572274
8,0.021121,1.118710,1.574418
9,0.020979,1.139925,1.591390
10,0.020835,1.132170,1.581006
11,0.020689,1.110251,1.565150
12,0.020625,1.103030,1.561842
13,0.020488,1.114350,1.565822
14,0.020401,1.104895,1.559092
15,0.020289,1.100610,1.553532
16,0.020216,1.102160,1.558801
17,0.020133,1.086982,1.543836
18,0.020023,1.087716,1.549095
19,0.019964,1.113257,1.568410
20,0.019917,1.120051,1.586081
21,0.019813,1.100516,1.564418
22,0.019731,1.095992,1.552929
