epoch,train_loss,val_loss,val_rmse_C
1,0.043198,1.322468,1.781536
2,0.028533,1.245807,1.693662
3,0.027239,1.182136,1.632474
4,0.026489,1.210170,1.652206
5,0.026057,1.206415,1.641078
6,0.025739,1.161789,1.604436
7,0.025485,1.145790,1.586215
8,0.025300,1.178993,1.622197
9,0.025124,1.157626,1.597537
10,0.025006,1.151810,1.595376
11,0.024860,1.128696,1.570173
12,0.024768,1.158440,1.599386
13,0.024627,1.131413,1.579200
14,0.024558,1.169598,1.608189
15,0.024456,1.167656,1.612355
16,0.024364,1.142808,1.586192
