epoch,train_loss,val_loss,val_rmse_C
1,0.153377,1.305073,1.763819
2,0.120614,1.220339,1.676331
3,0.113688,1.181011,1.635700
4,0.109903,1.184214,1.637190
5,0.107514,1.165692,1.619839
6,0.105955,1.160211,1.609746
7,0.104708,1.135960,1.589866
8,0.103635,1.147025,1.600424
9,0.102884,1.122295,1.576117
10,0.102163,1.140859,1.591590
11,0.101393,1.127766,1.581901
12,0.100829,1.118467,1.573868
13,0.100495,1.111713,1.566649
14,0.099967,1.114020,1.566661
15,0.099377,1.122563,1.575302
16,0.099088,1.115158,1.567600
17,0.098517,1.115977,1.569304
18,0.098081,1.114409,1.566889
