epoch,train_loss,val_loss,val_rmse_C
1,0.153256,1.287173,1.748900
2,0.120126,1.244605,1.701232
3,0.113220,1.193645,1.648019
4,0.109524,1.192776,1.643929
5,0.107178,1.154986,1.607226
6,0.105501,1.141265,1.595619
7,0.104337,1.128017,1.582612
8,0.103497,1.153447,1.606826
9,0.102721,1.121316,1.577663
10,0.102029,1.126402,1.578746
11,0.101373,1.125272,1.577804
12,0.100896,1.114300,1.573140
13,0.100433,1.118504,1.574309
14,0.099840,1.118024,1.576033
15,0.099480,1.114345,1.570904
16,0.099147,1.128077,1.582508
17,0.098696,1.122145,1.578646
18,0.098315,1.125390,1.584498
19,0.097945,1.112118,1.569614
20,0.097678,1.111713,1.571056
21,0.097245,1.113713,1.574316
22,0.096931,1.113043,1.571595
23,0.096577,1.124681,1.581719
24,0.096210,1.119843,1.584056
