epoch,train_loss,val_loss,val_rmse_C
1,0.039860,1.290533,1.762035
2,0.024212,1.212627,1.675324
3,0.023098,1.232844,1.693736
4,0.022436,1.159408,1.616576
5,0.022054,1.162288,1.614384
6,0.021715,1.154647,1.610393
7,0.021402,1.127458,1.581859
8,0.021272,1.115978,1.571751
9,0.021069,1.110837,1.567128
10,0.020863,1.111611,1.566825
11,0.020792,1.122803,1.578637
12,0.020665,1.107061,1.562678
13,0.020614,1.116758,1.574697
14,0.020453,1.107661,1.564105
15,0.020382,1.110991,1.566858
16,0.020286,1.103905,1.563241
17,0.020221,1.085345,1.546305
18,0.020117,1.123733,1.584765
19,0.020023,1.104388,1.560887
20,0.019940,1.094507,1.552043
21,0.019873,1.103090,1.562627
22,0.019774,1.092988,1.551914
