epoch,train_loss,val_loss,val_rmse_C
1,0.043098,1.373503,1.834136
2,0.028578,1.279298,1.720838
3,0.027176,1.200298,1.648436
4,0.026476,1.199145,1.645589
5,0.026070,1.185041,1.631221
6,0.025704,1.152031,1.595532
7,0.025399,1.189271,1.633108
8,0.025272,1.145236,1.584844
9,0.025051,1.127223,1.571709
10,0.024942,1.155111,1.591877
11,0.024792,1.127276,1.570855
12,0.024640,1.125312,1.570049
13,0.024509,1.117914,1.562991
14,0.024401,1.141390,1.584844
15,0.024377,1.137450,1.582072
16,0.024256,1.133170,1.577056
17,0.024188,1.148607,1.591895
18,0.024083,1.122595,1.569225
